№,Блогер,Товар,Артикул,Ссылка на типовой сценарий,Хук,Удержание до 15 сек.,Содержание,Триггеры товара для раскрытия,CTA
46,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"У моих подруг новый прикол - они ходят ко мне домой, чтобы что-нибудь разлить.","Это может быть кофе, чай или просто вода. А иногда даже вино! Сначала я думала, что они делают это со зла, но потом поняла, что они просто хотят поделиться со мной своей новой находкой на вайлдбериз. Как только они сказали мне, в чем дело, я сразу же заказала её, потому что подруги плохого не посоветуют! И действительно не пожалела - эта находка теперь навсегда решила вопрос с любой пролитой жидкостью.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Легко сушить, Впитывает всё, Не пропускает воду, Универсальный — под зубные щетки, Легко обрезать под любой размер",Теперь с подругами сидим в сухой кухне. Артикулом делюсь в описании!
47,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Муж говорит, что наша посуда ужасно воняет.","Даже хотел развестись, потому что думал, что я плохая хозяйка, но я позвонила маме, и она сказала, что дело в нашей сушилке для посуды в которой скопилась плесень. Я пробовала всё — микрофибру, губки, салфетки. Но плесень с сушилки они не убрали, и тогда мама подсказала мне свою находку на вайлдбериз, которая решила проблему с плесенью раз и на всегда.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Впитывает всё, Легко сушить, Под посуду, Не пропускает воду, Легко обрезать под любой размер",Муж остается в семье! Артикулом делюсь в описании!
48,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Гуляла с котом по улице, и вдруг наступила в какашку. Ну почему собачники не запомнят, что за собакой нужно убирать?","Даже коту было неприятно нюхать. Как представила, как занесу это всё в прихожую, мне и самой стало дурно. Но потом я вспомнила, что совсем недавно знакомая, которая каждый день в такое наступает, поделилась со мной своей находкой на вайлдбериз, и мне полегчало. Ведь пункт выдачи по пути, а значит, у меня получилось забрать посылку и сразу же спасти прихожую от следов и посторонних запахов.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Защищает от воды, Под зубные щетки, Легко мыть, Универсальный — под разморозку рыбы, Не скользит","В общем, коврик помогает не только от собачьих какашек. Артикулом делюсь в описании!"
49,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,И снова эта неприятная ситуация на вайлдбериз!,"Я решила обновить кухню маме, и первый же её вопрос был - зачем? Зачем на это тратиться? И я задумалась - как часто мы хотим что-то обновить в квартире и откладываем это с аргументом ""ну нам же есть, чем пользоваться! Начинать решила с малого, и заказала вот эту безделушку с вайлдериз, которая сделала из моей мамы настоящую фанатку товаров с маркетплейсов.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Легко мыть, Не скользит, Универсальный — под цветы, Защита от бактерий и грибков, Под обувь в прихожую",Теперь у мамы пять таких ковриков! Артикулом делюсь в описании!
50,Евгения,Коврик,,https://youtube.com/shorts/Gd22IzKLEvE?feature=shared,"повторяем рилс, адаптируя под себя (не дословно)","повторяем рилс, адаптируя под себя (не дословно)","повторяем рилс, адаптируя под себя (не дословно)","Впитывает всё, Не скользит, Легко сушить, Под разморозку рыбы, Универсальный — под цветы","повторяем рилс, адаптируя под себя (не дословно)"
51,Евгения,Коврик,,https://youtube.com/shorts/pkmd6cGRVD0?feature=shared,"Повторяем рилс, но перед представлением коврика добавляем про то, что коврик нашли на вайлдбериз","Повторяем рилс, но перед представлением коврика добавляем про то, что коврик нашли на вайлдбериз","Повторяем рилс, но перед представлением коврика добавляем про то, что коврик нашли на вайлдбериз","Не пропускает воду, Легко мыть, Легко обрезать под любой размер, Под посуду, Защита от грибков","Повторяем рилс, но перед представлением коврика добавляем про то, что коврик нашли на вайлдбериз"
52,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
53,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
54,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
55,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
56,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
57,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
58,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
59,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
60,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
61,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
62,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
63,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
64,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
65,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
66,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
67,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
68,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
69,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
70,Евгения,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
71,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,«Мы чуть не расстались из-за мокрой ванной...»,"Всё началось, когда я поскользнулась и, орущая, влетела к парню в комнату. Он подумал, что я на него напала. Мы поругались, он ушёл ночевать в машину. А на утро пришел вот с этой коробочкой с Вайлдберриз. Я думала, что там зонт, а оказалось — он... Все-таки, какой он заботливый!","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Под зубные щетки, Под обувь в прихожую, Защищает от воды, Легко сушить, Не скользит",Болльше ни каких скользких луж - артикулом делюсь в описании!
72,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Это звучит странно, но благодаря этому Ешка прекратил выгонять меня из кровати.","Он вечно жаловался на мои мокрые ноги после душа. А потом я однажды вышла сухая. Он не поверил. Искал сушилку, фен, но ничего этого я не использовала. А я просто подсмотрела у подруги корзину на вайлдбериз и заказала одну из её покупок себе домой.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Универсальный — под разморозку, Легко мыть, Легко обрезать, Впитывает всё, Защита от бактерий",Теперь Ешка не гонит меня с кровати. Артикулом поделилась в описании!
73,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"(от лица фила)
Сегодня на меня кричала хозяйка. Правда, от страха","Я просто хотел понюхать шампунь. Но подскользнулся, а хозяйка закричала как в тот раз, когда я разбил ее любимую вазу с какими-то ветками. В итоге — я в шоке, хозяйка плачет. А сегодня я подумал, что испуг не прошел для неё бесследно, потому что она пришла с очередным розовым пакетом. А в нём оказался...","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Не скользит, Легко обрезать под любой размер, Легко сушить, Под цветы, Защищает от воды",Берегите своих хозяек! Артикулом делюсь в описании!
74,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Моя знакомая работала на складе вайлдбериз, и когда уволилась, поделилась этой жуткой историей.","Однажды у них на складе начала проекать крыша, и едва не затопило все товары. Всех эвакуировали и менеджеры уже считали убытки, но вдруг она вспомнила, что недавно видела находку в одной из коробок в самом дальнем конце склада. Она прорвалась через охрану, прорвалась к той коробке и спасла склад. А теперь эта штука лежит у меня и в кухне, и в ванной, чтобы мои животные могли ходить по сухому полу, не разносить грязь и не боялись подскользнуться.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Под посуду, Не пропускает воду, Легко мыть, Под зубные щетки, Защита от бактерий и грибков",Артикулом делюсь в описании!
75,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Кажется, меня прокляла старая хозяйка квартиры.  Слишком уж всё было хорошо, и тут вдруг филу на голову начала литься вода прямо с потолка!","Соседи с верху меня топили, а соседи с низу приходили ругаться - но пока я пыталась справиться с потопом, разговаривал с ними Фил. К счастью, я вспомнила историю подруги, которая работала в вайлдбериз и спасла склад товаров с помощью одной находки, которую до сих пор можно заказать на площадке. Тут же зашла в телефон и заказала себе эту находку, потому что ситуация требовала срочного решения.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Легко обрезать под любой размер, Легко сушить, Под разморозку, Впитывает всё, Не скользит","Впитывает быстрее, чем я успеваю паниковать! Артикул оставляю в описании!"
76,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"От лица Ешки:
Ужас! Сегодня чуть не съела какую-то гадость!","Хозяйка принесла очередной розовый пакет. Иногда там бывает что-то вкусное! 
Смотрю: что-то мягкое, серенькое, симпатичное. Думаю — может, это новая еда для кошечки? Или рыба? Разворачиваю, а оно пахнет… ничем.
Новая когдаточка? Тоже не подходит, совсем не рвётся!
И тогда я вспомнила, что совсем недавно она обсуждала с подругой свою находку на вайлдбериз.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Защищает от воды, Не пропускает воду, Под обувь, Универсальный — под цветы, Легко мыть","Хоть это и несъедобно, артикулом поделюсь в описании. Хотя бы воды теперь нигде нет!"
77,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Эта вещь точно должна быть на вашей кухне. Теперь я не представляю, как бы справлялась, если бы про неё не узнала.","А все произошло благодаря Филу. В парке он погнался за уткой - как обычно, хотел познакомиться с новыим другом и поиграть с ним. Лапы все замочил, сам чуть не плюхнулся в пруд. Утка отскочила, а пойти за ней он не рискнул. Мимо проходил прохожий, посмотрел на мокрого фила, и подсказал мне эту находку на вайлдбериз, благодаря которой мокрые лапы после улицы больше не страшны нашей прихожей.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Легко сушить, Впитывает всё, Под зубные щетки, Защита от грибков, Легко обрезать",В следующий раз фил утку точно догонит! А артикул я оставила в описании!
78,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Вот это да, такого я не ожидала от вайлдберриз!","Долго думали с Филом, стоит ли заказывать очередную безделушку в дом с вайлдбериз. Иногда мне кажется, он уже совсем устал от моих покупок. Ну а я устала от грязной прихожей после прогулок, так что нужно было что-то делать. В этот раз особенно нервничали, потому что не знали, сойдутся ли ожидание и реальность. И вообще, будет ли филу комфортно использовать эту штуку, или она будет бесполезно пылиться, как некоторые наши другие покупки (например, ошейник).","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Не скользит, Легко мыть, Под цветы, Под посуду, Защищает от воды","В общем, коврик себя оправдал! Артикулом делюсь в описании!"
79,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Расскажу историю, как Фил спас нашу бабушку.","Мы уронили бабушку. Она не плакала. но очень громко ругалась. А все потому, что кто-то очень неаккуратно пил из миски, и расплескал вокруг всю воду! На Фила ругаться мы, конечно, не дали. Но и с водой на полу было пора что-то делать. Фил, видимо, чувстовал себя виноватым, потому что залез на компьютер и случайно открыл страницу вайлдбериз, на которой мы обнаружили эту находку и сразу же её заказали..","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Универсальный — под обувь, Защита от бактерий, Легко сушить, Впитывает всё, Легко мыть",Артикулом делюсь в описании! А бабушка точно больше не упадет. 
80,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,В вайлдбериз опять перепутали заказ.,"Ну насколько можно быть невнимательными, чтобы это случилось снова? Решила заказать филу новую игрушку, но вместо нее пришел совершенно другой товар. Я сначала расстроилась и хотела вернуть, но потом подумала - а почему бы не попробовать? Может, пригодится?
Филу тоже было интересно, что же там такое, хотя он тоже уже понял, что игрушку придется еще подождать. Что же подсунул нам WB?","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Легко обрезать, Под разморозку рыбы, Не пропускает воду, Защита от бактерий, Не скользит",Коврик точно оставлю! А артикулом делюсь в описании!
81,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Сижу, чешу Фила и слышу на кухне звуки воды!","Оказалось, Ешка решил попить и каким-то образом открыл кран в раковине. Сам мокрый и напуганный, так и вокруг на кухне оказались просто океаны воды. Вот уже попил, так попил!
Это происходит уже не в первый раз, и ран Ешка теперь изобретатель, я решила менять подход. Водабудет литься и дальше, а значит, нужно понять, как её впитывать.
К стчастью, я вспомнила, как недавно видела у подруги в корзине находку на вайлдбериз, о которой бы раньше и не задумалась. Сразу же заказала, и вот она наконец-то пришла.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Легко мыть, Легко сушить, Под посуду, Под обувь, Впитывает всё",Кухня под защитой! Артикулом делюсь в описании!
82,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"«Я сняла видос с этой находкой на вайлдбериз, и он набрал больше лайков, чем набирает Фил. Я в шоке!","Вы только посмотрите на эту славную мордочку! Ну как он может набирать меньше, чем какой-то предмет для кухни?
Пускай Фил делает лужи, а эта находка их впитывает. Пускай фил приносит лужу домой, а эта находка защищает мою прихожую.. Но неужели какая-то финтифлюшка может понравиться больше собаки?
Впрочем, она мне тоже понравилась, и я заказала себе еще одну такую же на вайлдбериз. 
Сейчас покажу, какое еще применение я нашла тому самому коврику.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Универсальный — под цветы, Защита от грибков, Легко обрезать, Не скользит, Легко мыть","Уборки стало в 2 раза меньше, а лайков больше. Всё из-за артикульчика в описании"
83,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Ешка с Филом снова не поделили игрушку,"У них все происходит как у детей. Если играет один, то обязательно игрушка понадобится и второму. Просто ужас! А в этот раз еще и снесли миски с водой. Теперь по всей кухне одни луши. 
Но я нашла,как решить проблему. Оказывается, у знакомой дети живут как кошка с собакой, и она поставила им под миски вот эту находку на вайлдбериз, которой я не могу не поделиться. Ведь с ней на моей кухне стало сухо даже впосле самых активных игр моих питомцев.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Под зубные щетки, Защищает от воды, Не пропускает воду, Легко сушить, Под обувь",
84,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
85,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
86,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
87,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
88,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
89,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
90,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
91,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
92,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
93,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
94,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
95,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
96,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
97,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
98,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
99,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
100,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
101,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
102,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
103,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
104,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
105,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
106,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
107,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
108,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
109,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
110,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
111,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
112,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
113,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
114,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
115,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
116,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
117,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
118,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
119,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
120,Валерия,Коврик,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
121,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Когда последний раз вы открывали стиральную машину и чуть не упали в обморок от запаха?,"Я тоже не могла решить эту проблему. Иногда машинка даже ела один из носков, а иногда выдавала носок с дыркой после стирки. Пообщалась с знакомым инженером - оказалось, все из-за ржавчины, которая скапливается между барабаном и дверцей. Она грызет носки и отправляет их прямиком в слив. Но также он подсказал находку на вайлдбериз, которая давно в ходу у всех в их инженерной тусовке.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Устраняет запах, Без хлора, 99% бактерий и грибков убивает, Можно использовать с септиком, Гипоаллергенный",🧼 Хочешь такую же чистую машинку? Артикул в описании!
122,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Стирала кофту как обычно, достала - а на ней пятна!","Представьте: я стираю любимую белую рубашку, а она выходит грязнее, чем была! Муж уже начал подозревать, что я делаю что-то не так, а дело было в стиральной машине. Посоветовалась с подругой, она подсказала мне эту находку на вайлдбериз, и теперь все вещи белее снега, а муж меньше ворчит! Заказала сразу же, и не пожалела!","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Устраняет запах, Без фосфатов, Устраняет накипь, Гипоаллергенный, Можно использовать с септиком",💥 Спасла машинку — спасёшь и свою. Артикул внизу!
123,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Вы бы поверили, что в вашей машине живёт настоящий «зверь» — плесень?","Когда я впервые почистила стиралку этими таблетками, то чуть не упала в обморок от запаха. Оказалось, там столько плесени и ржавчины! А муж только посмеялся и сказал: «Вот видишь, надо было раньше заботиться о машинке». Так я и начала этот «ритуал» очищения, который теперь не пропускаю. История с этими таблетками — как борьба с невидимым врагом в моём доме.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","99% бактерий и грибков убивает, Без хлора, Продлевает срок службы техники, Устраняет запах, Гипоаллергенный",📦 Заказала по артикулу в описании — не пожалела ни разу!
124,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Представьте, что ваша стиральная машина — это бомба замедленного действия...","Мой муж как-то пошутил, что в нашей стиралке скоро взрыв будет, если ничего не делать. Я, конечно, не сразу поверила, но когда запах и шум усилились, решила действовать. Купила таблетки, и они буквально спасли ситуацию. История началась с того, что я встретила на улице знакомую, которая рассказала, что у них уже взорвалось три стиралки, пока она не нашла эту удивительную находку на вайлдбериз","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Без фосфатов, Без хлора, Устраняет накипь, Можно использовать с септиком, Продлевает срок службы техники",👇 Оставила артикул в описании — пусть и ваша техника скажет спасибо!
125,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Когда я узнала, что стиральная машина может быть причиной аллергии, у меня случился шок.","Мы с мужем долго мучались с кожными высыпаниями, пока не поняли, что дело в грязном барабане. Тогда я решила поискать решение. Советовалась с подругой, и особенно долгие разговоры вела с соседом. И вот однажды утром он снова зашел к нам в гости, и заявил, что у него есть решение - вот эта удивительная находка на вайлдбериз!","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Устраняет запах, 99% бактерий и грибков убивает, Без фосфатов, Гипоаллергенный, Устраняет накипь",🫧 Секрет идеальной стирки — в этих таблетках. Артикул ищи под видео!
126,Екатерина,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,После стирки вещи пахнут как будто их давно не стирали? Это кошмар!,"Когда это произошло у меня впервые, я сразу подумала, что пора менять стиралку. Мой парикмахер вечно что-то советует необычное, и в этот раз, почувствовав запах стиральной машины от моей кофты, он подсказал мне свою недавнюю находку на вайлдбериз. Оказывается, у него была та же проблема, и все было из-за той плесени, которая скапливается под ободом стиральной машины.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Без хлора, Можно использовать с септиком, Устраняет накипь, Продлевает срок службы техники, Без фосфатов",🔍 Забирай артикул в описании!
