Ясно ,,,,Локации
"45.Мыло нарезка/ антистресс - кликбейт, треш контент  ","45.С детства мама говорила, что я испортила ей жизнь.
Могла накричать на пустом месте, швырнуть чашку об стену, если я попросила помочь с домашкой.
Когда мне исполнилось 16, я копалася в старых ящиках и наша странный документ.
Там было написано: ""Сделка. Передача ребёнка. Без права возврата.""
Я сначала подумала, что это подделка.
Но когда показала ей — она даже не смутилась.
Просто сказала: «Да. Я купила тебя у какой-то алкашки. И ты до сих пор себя не окупила».
Я сбежала.
Сначала жила у друга, потом попала в приют.
Сейчас мне 24, я учусь на юриста и помогаю детям, которых не любят родители. Только в этом году нашла маму и узнала, что она пошутила.
Пошла к психологу, чтобы проработать - понимаю, что это сделало меня сильнее.
Промокод на 20% скидку на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.",,,
"46.Мыло нарезка/ антистресс - кликбейт, треш контент  ","46.Я работаю вахтовиком. По 8 месяцев на севере, без связи.
Когда вернулся домой, невеста меня встретила с коляской.
Сказала: «Вот, пока ты работал — я родила. Поздравляю, папа!»
Я ничего не понял — мы вроде только планировали беременность, когда я уезжал.
Посчитал сроки — не сходится. Вообще.
Сделал тест. Ребёнок не мой.
Она призналась, что заскучала без меня, и ей просто хотелось тепла.
Я собрал вещи, оставил ей квартиру, машину и ушёл.
Сейчас у меня новая семья — жена с вахты, у нас двойня.
А бывшая пишет: «Ты же был почти отцом. Хочешь, посмотришь, как он растёт?»
Нет. Не хочу, потому что проработал проблему с психологом, и отсудил у нее квартиру и машину.
Промокод на 20% скидку на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.",,,
"47.Мыло нарезка/ антистресс - кликбейт, треш контент  ","47.Я познакомилась с ним в поезде.
Умный, вежливый, богатый. Да, ему было 80, а мне — 25, но я чувствовала себя рядом с ним защищённой.
Мы быстро сблизились, он сделал предложение, я согласилась.
Моя семья была в шоке, мама даже отказалась прийти на свадьбу.
Прошло полгода, и мама всё-таки пришла… но не с извинениями.
Она притащила документы, фото и начала кричать:
— Это твой дед! Точнее, брат твоего деда. Он тебя на руках держал, когда ты родилась!
Брак аннулировали.
Я уехала в монастырь на месяц, ходила к психологу, чтобы хоть как-то прийти в себя.
Сейчас живу одна с двумя кошками, и мне нормально.
Промокод на 20% скидку на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.",,,
"48.Мыло нарезка/ антистресс - кликбейт, треш контент  ","48.Мой муж просто вышел за хлебом и не вернулся.
Не взял ни телефон, ни документы.
Я обратилась в полицию — завели дело как без вести пропавшего.
Месяцы я клеила объявления, обзванивала морги, даже гадалкам платила.
Через два года подруга скидывает мне Reels из Дубая:
— Это не твой бывший?
Смотрю — мой муж на яхте, с какой-то блондинкой в хиджабе, в золоте, и под подписью: «Майкл и Хана. Второй год вместе».
Майкл! Он из Мытищ!
Я чуть не выронила телефон.
Пишу ему с фейка — он отвечает.
Выясняется: он слился от кредитов и обязательств, а в Дубае познакомился с богатой вдовой-шейхихой, и теперь живёт там под чужим именем.
Я чуть не свихнулась. Сейчас хожу к психологу, чтобы вообще снова доверять мужчинам.
Промокод на 20% скидку на первую онлайн-сессию с психологом в ""Ясно""— в шапке профиля.",,,
49.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"49.Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
📘 Учебник по сопромату (под подушкой)",,,
50.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
📎 Папка с чеками из “Пятёрочки” за 3 года",,,
51.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
💿 Диск с игрой “Сапёр 98”",,,
52.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🧻 Рулон туалетной бумаги, аккуратно завернутый в пакетик",,,
53.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
✏️ Карандаш, подписанный «Боевое перо»",,,
54.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
💡 Лампочка без коробки",,,
55.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
📓 Тетрадь с надписью “Архив. Не читать”",,,
56.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🧷 Кнопка от джинсов, завёрнутая в салфетку",,,
57.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
📺 Пульт от несуществующего телевизора",,,
58.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🍵 Пакетик с сухим чаем, подписанный: “На чёрный день”",,,
59.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🧂 Пачка соли",,,
60.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🧃 Пустая коробка от сока с датой, когда он был в 1 классе",,,
61.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🥄 Ложка, завёрнутая в фольгу",,,
62.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
📄 Список дел: “1. Проснуться. 2. ??? 3. Мировое господство”",,,
63.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🎲 Один кубик от настольной игры",,,
64.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🔋 Пальчиковые батарейки без объяснений",,,
65.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🪙 Монетка, обёрнутая в бумажку с надписью: “Удача”",,,
66.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🧼 Огрызок мыла в носке",,,
67.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
📦 Коробка из-под обуви с одной пуговицей внутри",,,
68.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🧴 Пустой флакон от крема с заклеенной этикеткой",,,
69.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
📘 Инструкция от утюга, подписанная “Секретный файл”

",,,
70.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🪡 Иголка в пробке",,,
71.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🎈 Сдутый шарик с надписью ""Не отпускай""",,,
72.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🎁 Подарочный пакет, в котором ничего нет",,,
73.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🖼️ Фотография… холодильника. Распечатанная.

",,,
74.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🧃 Соломинка, подписанная “Запасная трубка дыхания”

",,,
75.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
📘📏 Линейка с наклейкой  “бессмертные 20 см”",,,
76.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
📃 Обрезанная этикетка от одежды с датой и подписью",,,
77.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🐾 Формочка для печенья, обмотанная скотчем

",,,
78.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
💳 Подарочная карта, магазина косметики
",,,
79.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🕯️ Полуобожжённая свеча с запиской “На волков”",,,
80.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🍬 Пустая пачка от конфет, но обёртки аккуратно сложены",,,
81.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🖊️ Ручка с надписью “Для писем в обезяник""",,,
82.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🎧 Одна наушница без второй",,,
83.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🛏️ Старый носок, спрятанный под матрасом

",,,
84.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
📚 любая книга",,,
85.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🖼️ Портрет кота, обведённый красным маркером
",,,
86.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
📦 Коробка с пустыми бутылками из-под воды

",,,
87.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
📅 Календарь с вычеркнутыми всеми выходными

",,,
88.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🧦 Пара одинаковых, но дырявых носков

",,,
89.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🔑 Ключ без замка, подвешенный на нитке

",,,
90.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
🍽️ Тарелка с наклеенной на неё надписью «Не трогать — мой шедевр»

",,,
91.Вирусится формат снимают от себя мама к ребенку - убиралась у сына в комнате - какой-то необычный хук - контроль/тревога ,"Текст для озвучки / субтитров:

Убиралась у сына в комнате,
и нашла вот такую неприятную находку.

Что думаете, девочки,
что делать?
Пока к психологу на Ясно записалась,
промокод на скидку в шапке оставила.

Находка:
📘 🧴 Пустая бутылка от шампуня с надписью «Запасной план»",,,
"92.Аффирмации и заговоры - вот сейчас расскажем аффирмацию на жир, в конце - не работает, но так не работает - проблема с весом , и остальное  - главное увести к психологу","Сейчас расскажу аффирмацию от лишнего веса. 
""Жир, уходи! Уходи, уходи, жир! Ко мне назад не приходи, уходи, уходи! Назад к Машке стерве перейди, жир!""
Девочки, вы не поверите, такую аффирмацию повторяла каждое утро, и за завтраком, и за ужином, а жир все не уходил!
",,,
"93.Кликбейтные форматы через сторитейлинг, выдуманные истории от себя с какой-то жестью - самокатчики/пешеходы","В зарубежных компаниях:
— отпуск на благотворительность,
— офис в Бали,
— психолог два раза в неделю,
— и корпоратив в Амстердаме, а не в «кальянной у Серёги».

Зарплаты — x4.
График — «работайте, когда удобно».
Отношение — «вы человек, и мы вас ценим».

А у нас:
— ""тут все перерабатывают, это норма"",
— ""а зачем тебе отпуск, ты же только начала"",
— ""мы семья"" — и это звучит для меня уже как угроза.
Ни ДМС. Ни психолога. Иногда — даже зарплаты платят, как придется, не по графику.

Я правда в какой-то момент начала думать, что я просто не выдерживаю норму.
Что со мной что-то не так.

Потом я пошла к психологу на Ясно.

С тех пор я выбираю себя, зарплата выросла в 3 раза, на работе выбила бонусы.
Кстати, там мне дали промокод на скидку в 20% - делюсь им в шапке профиля!",,,
94.Электронки,"Отгадайте, что со мной сейчас происходит и почему вместо радости по дороге с работы домой, я чувствую ненависть, время тянется, все люди вокруг раздражают, я же жажду вступить с кем-нибудь из них в конфликт. Позорная правда в том, что я просто не курила электронку уже как 5 часов. Это был мой новый рекорд в борьбе с этой зависимостью. Я поняла, что это уже не шутки, раз я испытываю настоящие ломки. Сама бросить не могу, а в наркологичку с таким не ходят. Однако, нашла неожиданный выход и поняла, что можно же с этой проблемой придти в Ясно , там онлайн сессии, что очень удобно. И прям рада, что нашла такой сервис, где мне помогли без страданий обрести никотиновую свободу. Желаю всем перестать убивать свои легкие и нервы, будьте здоровы .У вас все получится!",ПОЛИНА,,
,"До зарплаты не хватает денег?! А последние 2к тратишь на электронку? Прекращай себя травить-Бросай курить! Хочешь быстро и без нервяков? Тогда в Ясно гоу и захвати скидку на 20%в шапке профеля на классного психолога, который подойдет именно тебе.",,,
,"Десять лет я жила с никотином в обнимку, последние два года из которых были просто мучительны, потому что я всеми силами старалась бросить курить, но от этого нервничала, срывалась, со временем еще и подсела на другие источники никотина. Так вот мне очень жаль потраченного времени, оказалось, можно было просто обратиться к специалисту , я обращалась в Ясно, хватило 3сессий . Призываю вас не повторять моих ошибок, легко и быстро избавляться от зависимости. Делюсь своим промокодом на скидку 20% в шапке профеля, там легко подобрать психолога, который подойдёт именно тебе.",,,
https://www.instagram.com/reel/DLbghWIIEXz/?utm_source=ig_web_copy_link,,,,
https://www.instagram.com/reel/CpC7Zp4IkzS/?utm_source=ig_web_copy_link,,,,
https://www.instagram.com/reel/DGl13dXsq3C/?utm_source=ig_web_copy_link,,,,
https://www.instagram.com/reel/DIES-tjMnoG/?utm_source=ig_web_copy_link,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Гравити фоллз,,,,
"графити фолс - приколы и мемы из мультика, отсматривать каждую серию и вырезать по 6-10 сек приколов, 2 - много материала, МОЖНО ЧЕРЕДОВАТЬ С ДРУГИМИ РИЛСАМИ. КАЖДЫЙ отсмотрит по сезону и выпишет моменты. СТА к покупке - последний сезон ссылка. ",,,,
"продавать через ностальгию - миллениалы, которые выросли на этом, через сторитейлинг. последний сезон графити",,,,
"продавать через детей, тех кто вырос на этом мультике",,,,
закадровая озвучка и моменты из мультфильма,,,,
давать ссылку на категорию товаров ,,,,
4 разных профиля на читай город ,,,,
"Пока нет понимания,какие должны быть ролики для Графити Фолс - после просмотра появится понимание. ",,,,
"Берем в работу 1 сезон сериала - материал несколько видосов - скину на яндекс диск, какой текст, призыв, также Алина напишет какие - раскадровка: 1 папка вырезки, 2 папка - предложенные видосы, готовые с текстом ",,,,
"захожу в магагзин - смотрю комикс и ведет на ссылку, ",,,,
блогерский продающий,,,,
“Угадаешь по 1 секунде?” — музыка из сериала,,,,
“Что случилось после финала сериала? Вот что👇”,,,,
Переозвучка классической сцены — но взрослая,,,,
"Реакция: ""Думаешь, знаешь GF?"" — а потом неожиданный поворот",,,,
"“Ты уже взрослая, но…” — кадры из сериала под грустную песню",,,,
Сравнение: ты в 2014 vs ты в 2025,,,,
Фантазия: “Если бы GF вышел сейчас — вот как выглядел бы Стэн”,,,,
"“3 причины купить новый том, даже если тебе за 30”",,,,
"""Читаю новый том — а там ТАКОЕ"" (реакция)",,,,
"Скетч: “Показываю детям GF, но смотрю сама”",,,,
“Гравити Фолз — это не детский мультик”,,,,
Мем-реакция на “Почему ты опять смотришь мультики?”,,,,
"“Как я отреагировала, когда узнала о новом томе”",,,,
Сравнение комикса и сериала (спойлер-фри),,,,
Реконструкция сцены из комикса — анимация или стиль TikTok-театра,,,,
“Скрытые символы и пасхалки — продолжаются”,,,,
"Формат “ты знала, что…” + редкие факты от авторов комикса",,,,
"Реакция: муж/друг рофлит, а ты заказываешь комикс",,,,
Скетч “читателька ночью под одеялом”,,,,
ИИ - персонажи гравити фоллз в реальной жизни,,,,
"ИИ - персонажи гравити фоллз, если бы они были (знаки зодиака, психотипы, что угодно)",,,,
ТАРО,,,,
https://www.instagram.com/reel/C_vebDFq37-/?utm_source=ig_web_copy_link,,,,
https://www.instagram.com/reel/DKEx0sGofAW/?utm_source=ig_web_copy_link,,,,
https://www.instagram.com/reel/DKR2sE_MFsF/?utm_source=ig_web_copy_link,,,,
